     0   1   2   3   4   5   6   7   8   9
00 000 099 198 297 396 495 594 693 792 891
01 099 099 198 297 396 495 594 693 792 891
02 198 198 198 297 396 495 594 693 792 891
03 297 297 297 297 396 495 594 693 792 891
04 396 396 396 396 396 495 594 693 792 891
05 495 495 495 495 495 495 594 693 792 891
06 594 594 594 594 594 594 594 693 792 891
07 693 693 693 693 693 693 693 693 792 891
08 792 792 792 792 792 792 792 792 792 891
09 891 891 891 891 891 891 891 891 891 891
10 099 099 198 297 396 495 594 693 792 891
11 099 000 099 198 297 396 495 594 693 792
12 198 099 099 198 297 396 495 594 693 792
13 297 198 198 198 297 396 495 594 693 792
14 396 297 297 297 297 396 495 594 693 792
15 495 396 396 396 396 396 495 594 693 792
16 594 495 495 495 495 495 495 594 693 792
17 693 594 594 594 594 594 594 594 693 792
18 792 693 693 693 693 693 693 693 693 792
19 891 792 792 792 792 792 792 792 792 792
20 198 198 198 297 396 495 594 693 792 891
21 198 099 099 198 297 396 495 594 693 792
22 198 099 000 099 198 297 396 495 594 693
23 297 198 099 099 198 297 396 495 594 693
24 396 297 198 198 198 297 396 495 594 693
25 495 396 297 297 297 297 396 495 594 693
26 594 495 396 396 396 396 396 495 594 693
27 693 594 495 495 495 495 495 495 594 693
28 792 693 594 594 594 594 594 594 594 693
29 891 792 693 693 693 693 693 693 693 693
30 297 297 297 297 396 495 594 693 792 891
31 297 198 198 198 297 396 495 594 693 792
32 297 198 099 099 198 297 396 495 594 693
33 297 198 099 000 099 198 297 396 495 594
34 396 297 198 099 099 198 297 396 495 594
35 495 396 297 198 198 198 297 396 495 594
36 594 495 396 297 297 297 297 396 495 594
37 693 594 495 396 396 396 396 396 495 594
38 792 693 594 495 495 495 495 495 495 594
39 891 792 693 594 594 594 594 594 594 594
40 396 396 396 396 396 495 594 693 792 891
41 396 297 297 297 297 396 495 594 693 792
42 396 297 198 198 198 297 396 495 594 693
43 396 297 198 099 099 198 297 396 495 594
44 396 297 198 099 000 099 198 297 396 495
45 495 396 297 198 099 099 198 297 396 495
46 594 495 396 297 198 198 198 297 396 495
47 693 594 495 396 297 297 297 297 396 495
48 792 693 594 495 396 396 396 396 396 495
49 891 792 693 594 495 495 495 495 495 495
50 495 495 495 495 495 495 594 693 792 891
51 495 396 396 396 396 396 495 594 693 792
52 495 396 297 297 297 297 396 495 594 693
53 495 396 297 198 198 198 297 396 495 594
54 495 396 297 198 099 099 198 297 396 495
55 495 396 297 198 099 000 099 198 297 396
56 594 495 396 297 198 099 099 198 297 396
57 693 594 495 396 297 198 198 198 297 396
58 792 693 594 495 396 297 297 297 297 396
59 891 792 693 594 495 396 396 396 396 396
60 594 594 594 594 594 594 594 693 792 891
61 594 495 495 495 495 495 495 594 693 792
62 594 495 396 396 396 396 396 495 594 693
63 594 495 396 297 297 297 297 396 495 594
64 594 495 396 297 198 198 198 297 396 495
65 594 495 396 297 198 099 099 198 297 396
66 594 495 396 297 198 099 000 099 198 297
67 693 594 495 396 297 198 099 099 198 297
68 792 693 594 495 396 297 198 198 198 297
69 891 792 693 594 495 396 297 297 297 297
70 693 693 693 693 693 693 693 693 792 891
71 693 594 594 594 594 594 594 594 693 792
72 693 594 495 495 495 495 495 495 594 693
73 693 594 495 396 396 396 396 396 495 594
74 693 594 495 396 297 297 297 297 396 495
75 693 594 495 396 297 198 198 198 297 396
76 693 594 495 396 297 198 099 099 198 297
77 693 594 495 396 297 198 099 000 099 198
78 792 693 594 495 396 297 198 099 099 198
79 891 792 693 594 495 396 297 198 198 198
80 792 792 792 792 792 792 792 792 792 891
81 792 693 693 693 693 693 693 693 693 792
82 792 693 594 594 594 594 594 594 594 693
83 792 693 594 495 495 495 495 495 495 594
84 792 693 594 495 396 396 396 396 396 495
85 792 693 594 495 396 297 297 297 297 396
86 792 693 594 495 396 297 198 198 198 297
87 792 693 594 495 396 297 198 099 099 198
88 792 693 594 495 396 297 198 099 000 099
89 891 792 693 594 495 396 297 198 099 099
90 891 891 891 891 891 891 891 891 891 891
91 891 792 792 792 792 792 792 792 792 792
92 891 792 693 693 693 693 693 693 693 693
93 891 792 693 594 594 594 594 594 594 594
94 891 792 693 594 495 495 495 495 495 495
95 891 792 693 594 495 396 396 396 396 396
96 891 792 693 594 495 396 297 297 297 297
97 891 792 693 594 495 396 297 198 198 198
98 891 792 693 594 495 396 297 198 099 099
99 891 792 693 594 495 396 297 198 099 000
